Schema item,Kind,Data type,Extends,Restricts,Abstract,Subst Group,Comment,Namespace
AbstractEvaluation,global complexType,,jdf:AbstractTerm,,,,"",JDFCapability.xsd
AbstractSpan,global complexType,,jdf:BaseElement_,,,,"",JDFCore.xsd
AbstractStates,global element,jdf:DevCapState,,,true,,"",JDFCapability.xsd
AbstractTerm,global complexType,,jdf:BaseElement_,,,,"",JDFCapability.xsd
AbstractTerms,global element,jdf:AbstractTerm,,,true,,"",JDFCapability.xsd
Acknowledge,global complexType,,jdf:Message,,,,"",JDFCore.xsd
AcknowledgeAbortQueueEntry,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeCloseQueue,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeFlushQueue,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeFlushResources,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeHoldQueue,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeHoldQueueEntry,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeNewJDF,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeNodeInfo,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeOpenQueue,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgePipeClose,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgePipePause,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgePipePull,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgePipePush,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeRemoveQueueEntry,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeRequestQueueEntry,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeResource,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeResourcePull,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeResubmitQueueEntry,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeResumeQueue,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeResumeQueueEntry,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeReturnQueueEntry,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeSetQueueEntryPosition,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeSetQueueEntryPriority,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeShutdown,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeStopPersistentChannel,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeSubmitQueueEntry,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeSuspendQueueEntry,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeWakeUp,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
Action,global complexType,,jdf:BaseElement_,,,,"",JDFCapability.xsd
ActionPool,global complexType,,jdf:BaseElement_,,,,"",JDFCapability.xsd
Address,global element,jdf:Address_r,,,,jdf:Resource,"",JDFResource.xsd
Address_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
Address_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
Address_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
AddressAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
AddressAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
AddressAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
AddressLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
AdhesiveBinding,global complexType,,jdf:JDFAbstractNode,,,,"",JDFProcess.xsd
AdhesiveBindingParams,global element,jdf:AdhesiveBindingParams_r,,,,jdf:Resource,"",JDFResource.xsd
AdhesiveBindingParams_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
AdhesiveBindingParams_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
AdhesiveBindingParams_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
AdhesiveBindingParamsAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
AdhesiveBindingParamsAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
AdhesiveBindingParamsAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
AdhesiveBindingParamsLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
AdhesiveBindingResLinkPool_,global complexType,,jdf:ResourceLinkPool_,,,,"",JDFProcess.xsd
All,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
